SFIA_Code,Level,Capability_ID,Capability_Description,Evidence_Type,Evidence_Metric
KNOW,2,KNOW_2_01,Capture and organise knowledge assets,Task,% of assets correctly documented
KNOW,3,KNOW_3_01,Maintain knowledge repositories and taxonomies,Task,% of repositories up-to-date
KNOW,4,KNOW_4_01,Design knowledge sharing processes,Design Task,Stakeholder adoption rate (%)
KNOW,5,KNOW_5_01,Define organisational knowledge management strategy,Governance Task,Alignment with organisational goals (%)
KNOW,6,KNOW_6_01,Integrate knowledge systems across functions,Strategic Task,# of systems successfully integrated
KNOW,7,KNOW_7_01,Set enterprise-wide knowledge governance,Leadership Task,Compliance with governance framework (%)
GRDN,1,GRDN_1_01,Create basic visual assets,Task,% of assets meeting quality standards
GRDN,2,GRDN_2_01,Design graphics following brand guidelines,Task,% adherence to brand guidelines
GRDN,3,GRDN_3_01,Produce consistent visual designs across products,Review Task,Consistency score across designs (%)
GRDN,4,GRDN_4_01,Develop visual design systems,Design Task,Completeness and usability of design system (%)
GRDN,5,GRDN_5_01,Define organisational visual identity,Governance Task,Stakeholder adoption rate (%)
SCMO,4,SCMO_4_01,Develop computational models of systems,Task,Accuracy of model predictions (%)
SCMO,5,SCMO_5_01,Validate and refine simulation models,Review Task,% of models validated successfully
SCMO,6,SCMO_6_01,Lead complex modelling initiatives,Leadership Task,Stakeholder satisfaction rate (%)
SCMO,7,SCMO_7_01,Define modelling standards and research direction,Governance Task,Adoption of standards (%)
NUAN,4,NUAN_4_01,Apply numerical methods to solve problems,Task,Accuracy of numerical solutions (%)
NUAN,5,NUAN_5_01,Optimise numerical algorithms,Optimization Task,Improvement in computational efficiency (%)
NUAN,6,NUAN_6_01,Lead numerical analysis for complex systems,Leadership Task,Success rate of analyses (%)
NUAN,7,NUAN_7_01,Define organisational numerical computation strategy,Strategic Task,Alignment with organisational objectives (%)
HPCC,4,HPCC_4_01,Develop software for parallel execution,Task,% of code executing correctly in parallel
HPCC,5,HPCC_5_01,Optimise applications for high-performance systems,Optimization Task,Performance improvement (%)
HPCC,6,HPCC_6_01,Architect scalable and HPC solutions,Design Task,Scalability and reliability metrics met (%)
HPCC,7,HPCC_7_01,Define enterprise HPC strategy and capability,Strategic Task,Stakeholder adoption rate (%)
