Tags,Subcategory,Sub-area,SFIA_Code,Level,Skill,Capability_ID,Capability_Description,Evidence_Type,Evidence_Metric,What it covers
"SOFTWARE, MANAGEMENT",Systems development,"Lifecycle, safety, and governance",SLEN,4,Systems and software lifecycle engineering,SLEN_4_02,Coordinate lifecycle activities across teams,Coordination Task,% of activities successfully coordinated,"Applying lifecycle models (e.g. Agile, DevOps, V-model) across development and deployment"
"SOFTWARE, MANAGEMENT",Systems development,"Lifecycle, safety, and governance",SLEN,5,Systems and software lifecycle engineering,SLEN_5_01,"Lead adoption of lifecycle models (Agile, DevOps, V-model)",Leadership Task,Stakeholder adoption rate (%),"Applying lifecycle models (e.g. Agile, DevOps, V-model) across development and deployment"
"SOFTWARE, MANAGEMENT",Systems development,"Lifecycle, safety, and governance",SLEN,5,Systems and software lifecycle engineering,SLEN_5_02,Integrate lifecycle practices across delivery pipelines,Integration Task,% of pipelines using integrated practices,"Applying lifecycle models (e.g. Agile, DevOps, V-model) across development and deployment"
"SOFTWARE, MANAGEMENT",Systems development,"Lifecycle, safety, and governance",SLEN,6,Systems and software lifecycle engineering,SLEN_6_01,Define organisational lifecycle frameworks,Governance Task,Adoption rate of lifecycle frameworks (%),"Applying lifecycle models (e.g. Agile, DevOps, V-model) across development and deployment"
"SOFTWARE, MANAGEMENT",Systems development,"Lifecycle, safety, and governance",SLEN,6,Systems and software lifecycle engineering,SLEN_6_02,Optimise lifecycle practices for efficiency and quality,Optimization Task,% improvement in process efficiency,"Applying lifecycle models (e.g. Agile, DevOps, V-model) across development and deployment"
"SOFTWARE, MANAGEMENT",Systems development,"Lifecycle, safety, and governance",SLEN,7,Systems and software lifecycle engineering,SLEN_7_01,Set strategic direction for lifecycle engineering,Strategic Task,Alignment with organisational objectives (%),"Applying lifecycle models (e.g. Agile, DevOps, V-model) across development and deployment"
"SOFTWARE, MANAGEMENT",Systems development,"Lifecycle, safety, and governance",SLEN,7,Systems and software lifecycle engineering,SLEN_7_02,Influence enterprise-wide delivery and deployment models,Strategic Task,Adoption of recommended models (%),"Applying lifecycle models (e.g. Agile, DevOps, V-model) across development and deployment"
MANAGEMENT,Systems development,"Lifecycle, safety, and governance",DLMG,4,System development management,DLMG_4_01,Plan and monitor system development activities,Management Task,% of planned activities completed on schedule,"Planning, monitoring, and controlling system development activities and resources"
MANAGEMENT,Systems development,"Lifecycle, safety, and governance",DLMG,4,System development management,DLMG_4_02,Manage development resources and schedules,Management Task,Resource utilization efficiency (%),"Planning, monitoring, and controlling system development activities and resources"
MANAGEMENT,Systems development,"Lifecycle, safety, and governance",DLMG,5,System development management,DLMG_5_01,Lead system development programmes,Leadership Task,Stakeholder approval rate (%),"Planning, monitoring, and controlling system development activities and resources"
MANAGEMENT,Systems development,"Lifecycle, safety, and governance",DLMG,5,System development management,DLMG_5_02,"Manage risks, dependencies, and delivery constraints",Risk Management Task,% of risks mitigated successfully,"Planning, monitoring, and controlling system development activities and resources"
MANAGEMENT,Systems development,"Lifecycle, safety, and governance",DLMG,6,System development management,DLMG_6_01,Define development management frameworks,Governance Task,Adoption of frameworks across teams (%),"Planning, monitoring, and controlling system development activities and resources"
MANAGEMENT,Systems development,"Lifecycle, safety, and governance",DLMG,6,System development management,DLMG_6_02,Govern large-scale development initiatives,Governance Task,Compliance with governance standards (%),"Planning, monitoring, and controlling system development activities and resources"
MANAGEMENT,Systems development,"Lifecycle, safety, and governance",DLMG,7,System development management,DLMG_7_01,Set strategic direction for system development,Strategic Task,Alignment of portfolios with organisational strategy (%),"Planning, monitoring, and controlling system development activities and resources"
MANAGEMENT,Systems development,"Lifecycle, safety, and governance",DLMG,7,System development management,DLMG_7_02,Align development portfolios with organisational strategy,Strategic Task,% of portfolios aligned with strategic objectives,"Planning, monitoring, and controlling system development activities and resources"
MANAGEMENT,Systems development,"Lifecycle, safety, and governance",PROD,2,Product management,PROD_2_01,Support product planning and backlog activities,Planning Task,% of backlog items correctly documented,"Managing product vision, roadmap, prioritisation, and value delivery"
MANAGEMENT,Systems development,"Lifecycle, safety, and governance",PROD,2,Product management,PROD_2_02,Gather and document product requirements,Documentation Task,Completeness and clarity of requirements (%),"Managing product vision, roadmap, prioritisation, and value delivery"
MANAGEMENT,Systems development,"Lifecycle, safety, and governance",PROD,3,Product management,PROD_3_01,Manage product backlog and prioritisation,Management Task,% of backlog prioritisation accuracy,"Managing product vision, roadmap, prioritisation, and value delivery"
MANAGEMENT,Systems development,"Lifecycle, safety, and governance",PROD,3,Product management,PROD_3_02,Coordinate product delivery with stakeholders,Coordination Task,% of deliveries aligned with stakeholder expectations,"Managing product vision, roadmap, prioritisation, and value delivery"
MANAGEMENT,Systems development,"Lifecycle, safety, and governance",PROD,4,Product management,PROD_4_01,Define product roadmap and release plans,Planning Task,Roadmap completeness and approval rate (%),"Managing product vision, roadmap, prioritisation, and value delivery"
MANAGEMENT,Systems development,"Lifecycle, safety, and governance",PROD,4,Product management,PROD_4_02,"Balance value, cost, and delivery constraints",Decision Task,% of decisions meeting value/cost/delivery targets,"Managing product vision, roadmap, prioritisation, and value delivery"
MANAGEMENT,Systems development,"Lifecycle, safety, and governance",PROD,5,Product management,PROD_5_01,Lead product strategy and value delivery,Leadership Task,Stakeholder satisfaction rate (%),"Managing product vision, roadmap, prioritisation, and value delivery"
MANAGEMENT,Systems development,"Lifecycle, safety, and governance",PROD,5,Product management,PROD_5_02,Align product outcomes with business goals,Strategic Task,% of products meeting business objectives,"Managing product vision, roadmap, prioritisation, and value delivery"
MANAGEMENT,Systems development,"Lifecycle, safety, and governance",PROD,6,Product management,PROD_6_01,Set organisational product management standards,Governance Task,Adoption rate of product management standards (%),"Managing product vision, roadmap, prioritisation, and value delivery"
MANAGEMENT,Systems development,"Lifecycle, safety, and governance",PROD,6,Product management,PROD_6_02,Govern product portfolios and investment decisions,Governance Task,Compliance with portfolio governance (%),"Managing product vision, roadmap, prioritisation, and value delivery"
"SAFETY, EMBEDDED",Systems development,"Lifecycle, safety, and governance",SFEN,2,Safety engineering,SFEN_2_01,Apply basic safety engineering principles,Safety Task,% of safety principles correctly applied,Designing systems to prevent hazards and ensure safe operation
"SAFETY, EMBEDDED",Systems development,"Lifecycle, safety, and governance",SFEN,2,Safety engineering,SFEN_2_02,Identify potential system hazards,Analysis Task,# of hazards correctly identified,Designing systems to prevent hazards and ensure safe operation
"SAFETY, EMBEDDED",Systems development,"Lifecycle, safety, and governance",SFEN,3,Safety engineering,SFEN_3_01,Perform hazard analysis and risk identification,Risk Analysis Task,% of hazards analysed and risks documented,Designing systems to prevent hazards and ensure safe operation
"SAFETY, EMBEDDED",Systems development,"Lifecycle, safety, and governance",SFEN,3,Safety engineering,SFEN_3_02,Define safety requirements and controls,Design Task,Completeness of safety requirements (%),Designing systems to prevent hazards and ensure safe operation
"SAFETY, EMBEDDED",Systems development,"Lifecycle, safety, and governance",SFEN,4,Safety engineering,SFEN_4_01,Design systems to mitigate safety risks,Design Task,% of safety risks mitigated in design,Designing systems to prevent hazards and ensure safe operation
"SAFETY, EMBEDDED",Systems development,"Lifecycle, safety, and governance",SFEN,4,Safety engineering,SFEN_4_02,Integrate safety requirements into system designs,Integration Task,% of safety requirements correctly integrated,Designing systems to prevent hazards and ensure safe operation
"SAFETY, EMBEDDED",Systems development,"Lifecycle, safety, and governance",SFEN,5,Safety engineering,SFEN_5_01,Lead system safety engineering activities,Leadership Task,Stakeholder approval rate (%),Designing systems to prevent hazards and ensure safe operation
"SAFETY, EMBEDDED",Systems development,"Lifecycle, safety, and governance",SFEN,5,Safety engineering,SFEN_5_02,Ensure compliance with safety standards,Validation Task,Compliance rate with standards (%),Designing systems to prevent hazards and ensure safe operation
"SAFETY, EMBEDDED",Systems development,"Lifecycle, safety, and governance",SFEN,6,Safety engineering,SFEN_6_01,Define organisational safety engineering strategy,Governance Task,Adoption rate of safety strategy (%),Designing systems to prevent hazards and ensure safe operation
"SAFETY, EMBEDDED",Systems development,"Lifecycle, safety, and governance",SFEN,6,Safety engineering,SFEN_6_02,Govern system safety practices across portfolios,Governance Task,Compliance rate across portfolios (%),Designing systems to prevent hazards and ensure safe operation
SAFETY,Systems development,"Lifecycle, safety, and governance",SFAS,4,Safety assessment,SFAS_4_01,Conduct safety assessments against defined criteria,Assessment Task,% of assessments meeting criteria,Assessing and certifying system safety against standards and regulations
SAFETY,Systems development,"Lifecycle, safety, and governance",SFAS,4,Safety assessment,SFAS_4_02,Document safety evidence and assessment results,Documentation Task,Completeness and accuracy of evidence,Assessing and certifying system safety against standards and regulations
SAFETY,Systems development,"Lifecycle, safety, and governance",SFAS,5,Safety assessment,SFAS_5_01,Lead safety validation and certification activities,Leadership Task,Stakeholder approval of validation (%),Assessing and certifying system safety against standards and regulations
SAFETY,Systems development,"Lifecycle, safety, and governance",SFAS,5,Safety assessment,SFAS_5_02,Assess compliance with safety regulations and standards,Assessment Task,% compliance with regulations,Assessing and certifying system safety against standards and regulations
SAFETY,Systems development,"Lifecycle, safety, and governance",SFAS,6,Safety assessment,SFAS_6_01,Define organisational safety assessment frameworks,Governance Task,Adoption of frameworks across organisation (%),Assessing and certifying system safety against standards and regulations
SAFETY,Systems development,"Lifecycle, safety, and governance",SFAS,6,Safety assessment,SFAS_6_02,Govern safety certification and assurance practices,Governance Task,Compliance with certification and assurance standards (%),Assessing and certifying system safety against standards and regulations
DATA,Data and analytics,Data and analytics,DATM,2,Data management,DATM_2_01,Maintain data records according to defined standards,Task,% of records compliant with standards,"Managing data lifecycle, governance, quality, and accessibility"
DATA,Data and analytics,Data and analytics,DATM,2,Data management,DATM_2_02,Support data quality checks and basic governance tasks,Task,# of quality checks correctly performed,"Managing data lifecycle, governance, quality, and accessibility"
DATA,Data and analytics,Data and analytics,DATM,3,Data management,DATM_3_01,Manage data lifecycle activities,Task,% of lifecycle tasks completed successfully,"Managing data lifecycle, governance, quality, and accessibility"
DATA,Data and analytics,Data and analytics,DATM,3,Data management,DATM_3_02,Apply data governance policies and procedures,Task,% of policies correctly applied,"Managing data lifecycle, governance, quality, and accessibility"
DATA,Data and analytics,Data and analytics,DATM,4,Data management,DATM_4_01,Plan and coordinate data management activities,Management Task,% of activities delivered on schedule,"Managing data lifecycle, governance, quality, and accessibility"
DATA,Data and analytics,Data and analytics,DATM,4,Data management,DATM_4_02,"Ensure data quality, integrity, and accessibility",Review Task,% of datasets meeting quality standards,"Managing data lifecycle, governance, quality, and accessibility"
DATA,Data and analytics,Data and analytics,DATM,5,Data management,DATM_5_01,Lead data governance and stewardship initiatives,Leadership Task,Stakeholder approval rate (%),"Managing data lifecycle, governance, quality, and accessibility"
DATA,Data and analytics,Data and analytics,DATM,5,Data management,DATM_5_02,Define data management standards and controls,Governance Task,Adoption rate of standards (%),"Managing data lifecycle, governance, quality, and accessibility"
DATA,Data and analytics,Data and analytics,DATM,6,Data management,DATM_6_01,Establish organisational data management strategy,Governance Task,% alignment with organisational objectives,"Managing data lifecycle, governance, quality, and accessibility"
DATA,Data and analytics,Data and analytics,DATM,6,Data management,DATM_6_02,Govern enterprise data assets and policies,Governance Task,Compliance rate across enterprise data assets,"Managing data lifecycle, governance, quality, and accessibility"
DATA,Data and analytics,Data and analytics,DTAN,2,Data modelling and design,DTAN_2_01,Produce basic logical data models,Task,Accuracy of logical data models (%),Designing logical and physical data models aligned with system needs
DATA,Data and analytics,Data and analytics,DTAN,2,Data modelling and design,DTAN_2_02,Maintain data definitions and metadata,Task,% of metadata correctly maintained,Designing logical and physical data models aligned with system needs
DATA,Data and analytics,Data and analytics,DTAN,3,Data modelling and design,DTAN_3_01,Design logical and physical data models,Design Task,Quality and completeness of data models (%),Designing logical and physical data models aligned with system needs
DATA,Data and analytics,Data and analytics,DTAN,3,Data modelling and design,DTAN_3_02,Align data structures with application requirements,Review Task,% of alignment with application requirements,Designing logical and physical data models aligned with system needs
DATA,Data and analytics,Data and analytics,DTAN,4,Data modelling and design,DTAN_4_01,Define data architecture standards,Governance Task,Adoption rate of architecture standards (%),Designing logical and physical data models aligned with system needs
DATA,Data and analytics,Data and analytics,DTAN,4,Data modelling and design,DTAN_4_02,Ensure consistency across data models and systems,Review Task,% of models consistent across systems,Designing logical and physical data models aligned with system needs
DATA,Data and analytics,Data and analytics,DTAN,5,Data modelling and design,DTAN_5_01,Lead data modelling and architecture practices,Leadership Task,Stakeholder approval of modelling practices (%),Designing logical and physical data models aligned with system needs
DATA,Data and analytics,Data and analytics,DTAN,5,Data modelling and design,DTAN_5_02,Optimise data architectures for scalability and reuse,Optimization Task,% improvement in architecture scalability and reuse,Designing logical and physical data models aligned with system needs
DATA,Data and analytics,Data and analytics,DAAN,2,Data analytics,DAAN_2_01,Prepare datasets for analysis,Task,% of datasets correctly prepared,Analysing datasets to extract insights and support decision-making
DATA,Data and analytics,Data and analytics,DAAN,2,Data analytics,DAAN_2_02,Perform basic descriptive analysis,Task,Accuracy of descriptive analysis results (%),Analysing datasets to extract insights and support decision-making
DATA,Data and analytics,Data and analytics,DAAN,3,Data analytics,DAAN_3_01,Analyse datasets to identify trends and patterns,Analysis Task,Correct identification of trends/patterns (%),Analysing datasets to extract insights and support decision-making
DATA,Data and analytics,Data and analytics,DAAN,3,Data analytics,DAAN_3_02,Communicate analytical findings,Communication Task,Clarity and completeness of findings (%),Analysing datasets to extract insights and support decision-making
DATA,Data and analytics,Data and analytics,DAAN,4,Data analytics,DAAN_4_01,Design analytical approaches to business problems,Design Task,Appropriateness of analytical approach (%),Analysing datasets to extract insights and support decision-making
DATA,Data and analytics,Data and analytics,DAAN,4,Data analytics,DAAN_4_02,Validate data sources and analytical results,Validation Task,% of sources and results validated successfully,Analysing datasets to extract insights and support decision-making
DATA,Data and analytics,Data and analytics,DAAN,5,Data analytics,DAAN_5_01,Lead analytics initiatives and projects,Leadership Task,Stakeholder satisfaction rate (%),Analysing datasets to extract insights and support decision-making
DATA,Data and analytics,Data and analytics,DAAN,5,Data analytics,DAAN_5_02,Translate business questions into analytical models,Application Task,% of models correctly addressing questions,Analysing datasets to extract insights and support decision-making
DATA,Data and analytics,Data and analytics,DAAN,6,Data analytics,DAAN_6_01,Define organisational analytics strategy,Governance Task,Adoption rate of analytics strategy (%),Analysing datasets to extract insights and support decision-making
DATA,Data and analytics,Data and analytics,DAAN,6,Data analytics,DAAN_6_02,Integrate analytics into decision-making processes,Integration Task,% of decisions informed by analytics,Analysing datasets to extract insights and support decision-making
DATA,Data and analytics,Data and analytics,DAAN,7,Data analytics,DAAN_7_01,Set enterprise-wide analytics vision,Strategic Task,Alignment with enterprise vision (%),Analysing datasets to extract insights and support decision-making
DATA,Data and analytics,Data and analytics,DAAN,7,Data analytics,DAAN_7_02,Influence data-driven culture and investment,Strategic Task,Evidence of culture adoption (%),Analysing datasets to extract insights and support decision-making
"DATA, AI",Data and analytics,Data and analytics,DATS,2,Data science,DATS_2_01,Apply basic statistical techniques,Task,Accuracy of statistical calculations (%),Applying statistical and computational techniques to complex data problems
"DATA, AI",Data and analytics,Data and analytics,DATS,2,Data science,DATS_2_02,Prepare datasets for modelling,Task,% of datasets correctly prepared,Applying statistical and computational techniques to complex data problems
"DATA, AI",Data and analytics,Data and analytics,DATS,3,Data science,DATS_3_01,Build and evaluate analytical models,Task,% of models evaluated with correct metrics,Applying statistical and computational techniques to complex data problems
"DATA, AI",Data and analytics,Data and analytics,DATS,3,Data science,DATS_3_02,Apply exploratory data analysis techniques,Analysis Task,Quality of insights generated (%),Applying statistical and computational techniques to complex data problems
"DATA, AI",Data and analytics,Data and analytics,DATS,4,Data science,DATS_4_01,Develop advanced statistical and predictive models,Design Task,Accuracy and robustness of models (%),Applying statistical and computational techniques to complex data problems
"DATA, AI",Data and analytics,Data and analytics,DATS,4,Data science,DATS_4_02,Validate models and assumptions,Validation Task,% of assumptions validated successfully,Applying statistical and computational techniques to complex data problems
"DATA, AI",Data and analytics,Data and analytics,DATS,5,Data science,DATS_5_01,Lead data science initiatives,Leadership Task,Stakeholder satisfaction rate (%),Applying statistical and computational techniques to complex data problems
"DATA, AI",Data and analytics,Data and analytics,DATS,5,Data science,DATS_5_02,Select and apply appropriate modelling techniques,Decision Task,% of correct modelling techniques applied,Applying statistical and computational techniques to complex data problems
"DATA, AI",Data and analytics,Data and analytics,DATS,6,Data science,DATS_6_01,Define data science strategy and standards,Governance Task,Adoption of standards across teams (%),Applying statistical and computational techniques to complex data problems
"DATA, AI",Data and analytics,Data and analytics,DATS,6,Data science,DATS_6_02,Govern ethical and responsible data science practices,Governance Task,% compliance with ethical standards,Applying statistical and computational techniques to complex data problems
"DATA, AI",Data and analytics,Data and analytics,MLNG,2,Machine learning,MLNG_2_01,Implement basic machine learning models,Task,Accuracy of model implementation (%),"Developing, training, evaluating, and deploying machine learning models"
"DATA, AI",Data and analytics,Data and analytics,MLNG,2,Machine learning,MLNG_2_02,Prepare training and test datasets,Task,% of datasets correctly prepared,"Developing, training, evaluating, and deploying machine learning models"
"DATA, AI",Data and analytics,Data and analytics,MLNG,3,Machine learning,MLNG_3_01,"Train, evaluate, and tune models",Task,Model performance metrics (%),"Developing, training, evaluating, and deploying machine learning models"
"DATA, AI",Data and analytics,Data and analytics,MLNG,3,Machine learning,MLNG_3_02,Apply feature engineering techniques,Task,% of features correctly engineered,"Developing, training, evaluating, and deploying machine learning models"
"DATA, AI",Data and analytics,Data and analytics,MLNG,4,Machine learning,MLNG_4_01,Design ML solutions for defined problems,Design Task,Quality of ML solution (%),"Developing, training, evaluating, and deploying machine learning models"
"DATA, AI",Data and analytics,Data and analytics,MLNG,4,Machine learning,MLNG_4_02,Integrate models into systems and pipelines,Integration Task,% successful integration into systems,"Developing, training, evaluating, and deploying machine learning models"
"DATA, AI",Data and analytics,Data and analytics,MLNG,5,Machine learning,MLNG_5_01,Lead machine learning development efforts,Leadership Task,Stakeholder approval rate (%),"Developing, training, evaluating, and deploying machine learning models"
"DATA, AI",Data and analytics,Data and analytics,MLNG,5,Machine learning,MLNG_5_02,Select ML approaches aligned with business needs,Decision Task,% of approaches aligned with objectives,"Developing, training, evaluating, and deploying machine learning models"
"DATA, AI",Data and analytics,Data and analytics,MLNG,6,Machine learning,MLNG_6_01,Define organisational ML strategy,Governance Task,Adoption of ML strategy across teams (%),"Developing, training, evaluating, and deploying machine learning models"
"DATA, AI",Data and analytics,Data and analytics,MLNG,6,Machine learning,MLNG_6_02,"Govern model lifecycle, ethics, and risk",Governance Task,% compliance with governance and ethics,"Developing, training, evaluating, and deploying machine learning models"
DATA,Data and analytics,Data and analytics,BINT,2,Business intelligence,BINT_2_01,Develop basic reports and dashboards,Task,% of reports and dashboards accurate,"Developing dashboards, reports, and analytics platforms for business users"
DATA,Data and analytics,Data and analytics,BINT,2,Business intelligence,BINT_2_02,Support BI tools and data sources,Task,% of BI support tasks completed successfully,"Developing dashboards, reports, and analytics platforms for business users"
DATA,Data and analytics,Data and analytics,BINT,3,Business intelligence,BINT_3_01,Design dashboards for business users,Design Task,User satisfaction with dashboards (%),"Developing dashboards, reports, and analytics platforms for business users"
DATA,Data and analytics,Data and analytics,BINT,3,Business intelligence,BINT_3_02,Ensure data accuracy and usability,Review Task,% of data accurate and usable,"Developing dashboards, reports, and analytics platforms for business users"
DATA,Data and analytics,Data and analytics,BINT,4,Business intelligence,BINT_4_01,Define BI reporting standards,Governance Task,Adoption of reporting standards (%),"Developing dashboards, reports, and analytics platforms for business users"
DATA,Data and analytics,Data and analytics,BINT,4,Business intelligence,BINT_4_02,Optimise BI platforms and performance,Optimization Task,% improvement in BI platform performance,"Developing dashboards, reports, and analytics platforms for business users"
DATA,Data and analytics,Data and analytics,BINT,5,Business intelligence,BINT_5_01,Lead BI strategy and delivery,Leadership Task,Stakeholder satisfaction rate (%),"Developing dashboards, reports, and analytics platforms for business users"
DATA,Data and analytics,Data and analytics,BINT,5,Business intelligence,BINT_5_02,Align BI solutions with business goals,Strategic Task,% alignment with business objectives,"Developing dashboards, reports, and analytics platforms for business users"
DATA,Data and analytics,Data and analytics,DENG,2,Data engineering,DENG_2_01,Build basic data pipelines and ETL jobs,Task,% of pipelines implemented correctly,"Building data pipelines, ETL processes, and scalable data platforms"
DATA,Data and analytics,Data and analytics,DENG,2,Data engineering,DENG_2_02,Monitor data flows and resolve issues,Task,# of flow issues resolved within SLA,"Building data pipelines, ETL processes, and scalable data platforms"
DATA,Data and analytics,Data and analytics,DENG,3,Data engineering,DENG_3_01,Develop scalable ETL and ingestion processes,Task,Performance and scalability metrics met (%),"Building data pipelines, ETL processes, and scalable data platforms"
DATA,Data and analytics,Data and analytics,DENG,3,Data engineering,DENG_3_02,Ensure data reliability and quality in pipelines,Review Task,% of data accuracy and reliability,"Building data pipelines, ETL processes, and scalable data platforms"
DATA,Data and analytics,Data and analytics,DENG,4,Data engineering,DENG_4_01,Design data platforms and pipeline architectures,Design Task,Completeness and performance of architecture (%),"Building data pipelines, ETL processes, and scalable data platforms"
DATA,Data and analytics,Data and analytics,DENG,4,Data engineering,DENG_4_02,Optimise performance and scalability,Optimization Task,Improvement in processing speed and throughput (%),"Building data pipelines, ETL processes, and scalable data platforms"
DATA,Data and analytics,Data and analytics,DENG,5,Data engineering,DENG_5_01,Lead data engineering initiatives,Leadership Task,Stakeholder satisfaction rate (%),"Building data pipelines, ETL processes, and scalable data platforms"
DATA,Data and analytics,Data and analytics,DENG,5,Data engineering,DENG_5_02,Define data platform standards and tooling,Governance Task,Adoption rate of standards (%),"Building data pipelines, ETL processes, and scalable data platforms"
DATA,Data and analytics,Data and analytics,DENG,6,Data engineering,DENG_6_01,Set organisational data engineering strategy,Governance Task,Alignment of strategy with organisational goals (%),"Building data pipelines, ETL processes, and scalable data platforms"
DATA,Data and analytics,Data and analytics,DENG,6,Data engineering,DENG_6_02,Govern enterprise data platforms,Governance Task,Compliance and uptime metrics (%),"Building data pipelines, ETL processes, and scalable data platforms"
"DATA, UIUX",Data and analytics,Data and analytics,VISL,2,Data visualisation,VISL_2_01,Create basic charts and visualisations,Task,Accuracy and clarity of visuals (%),Designing visual representations of data to support interpretation and insight
"DATA, UIUX",Data and analytics,Data and analytics,VISL,2,Data visualisation,VISL_2_02,Apply visual design guidelines,Task,% adherence to guidelines,Designing visual representations of data to support interpretation and insight
"DATA, UIUX",Data and analytics,Data and analytics,VISL,3,Data visualisation,VISL_3_01,Design visualisations to communicate insights,Design Task,Stakeholder feedback on effectiveness (%),Designing visual representations of data to support interpretation and insight
"DATA, UIUX",Data and analytics,Data and analytics,VISL,3,Data visualisation,VISL_3_02,Select appropriate visual forms for data,Design Task,% of visuals correctly mapped to data type,Designing visual representations of data to support interpretation and insight
"DATA, UIUX",Data and analytics,Data and analytics,VISL,4,Data visualisation,VISL_4_01,Define visual analytics standards,Governance Task,Adoption rate of standards (%),Designing visual representations of data to support interpretation and insight
"DATA, UIUX",Data and analytics,Data and analytics,VISL,4,Data visualisation,VISL_4_02,Ensure accessibility and usability of visuals,Review Task,% compliance with accessibility standards,Designing visual representations of data to support interpretation and insight
"DATA, UIUX",Data and analytics,Data and analytics,VISL,5,Data visualisation,VISL_5_01,Lead visual analytics strategy,Leadership Task,Stakeholder satisfaction (%),Designing visual representations of data to support interpretation and insight
"DATA, UIUX",Data and analytics,Data and analytics,VISL,5,Data visualisation,VISL_5_02,Influence data storytelling practices,Strategic Task,Evidence of improved insights adoption (%),Designing visual representations of data to support interpretation and insight
UIUX,User centred design,User centred design,URCH,2,User research,URCH_2_01,"Collect user data using interviews, surveys, and observation",Task,# of user insights correctly captured,Collecting qualitative and quantitative user insights to inform design
UIUX,User centred design,User centred design,URCH,2,User research,URCH_2_02,Document user needs and research findings,Task,Completeness and clarity of documentation (%),Collecting qualitative and quantitative user insights to inform design
UIUX,User centred design,User centred design,URCH,3,User research,URCH_3_01,Plan and conduct structured user research activities,Task,Research plan execution rate (%),Collecting qualitative and quantitative user insights to inform design
UIUX,User centred design,User centred design,URCH,3,User research,URCH_3_02,Analyse qualitative and quantitative user data,Analysis Task,Accuracy of research analysis (%),Collecting qualitative and quantitative user insights to inform design
UIUX,User centred design,User centred design,URCH,4,User research,URCH_4_01,Select appropriate research methods to inform design decisions,Design Task,% of methods correctly applied,Collecting qualitative and quantitative user insights to inform design
UIUX,User centred design,User centred design,URCH,4,User research,URCH_4_02,Translate research insights into actionable requirements,Task,# of actionable requirements generated,Collecting qualitative and quantitative user insights to inform design
UIUX,User centred design,User centred design,URCH,5,User research,URCH_5_01,Define user research strategy aligned with business goals,Governance Task,Alignment of strategy with business objectives (%),Collecting qualitative and quantitative user insights to inform design
UIUX,User centred design,User centred design,URCH,6,User research,URCH_6_01,Lead organisational user research capability and practice,Leadership Task,Stakeholder satisfaction rate (%),Collecting qualitative and quantitative user insights to inform design
UIUX,User centred design,User centred design,CEXP,2,Customer experience,CEXP_2_01,Map basic user journeys and touchpoints,Task,% of journeys accurately mapped,Designing end-to-end customer journeys and service experiences
UIUX,User centred design,User centred design,CEXP,3,Customer experience,CEXP_3_01,Analyse end-to-end customer experiences,Analysis Task,% of insights correctly identified,Designing end-to-end customer journeys and service experiences
UIUX,User centred design,User centred design,CEXP,3,Customer experience,CEXP_3_02,Identify experience gaps and improvement opportunities,Analysis Task,# of gaps accurately documented,Designing end-to-end customer journeys and service experiences
UIUX,User centred design,User centred design,CEXP,4,Customer experience,CEXP_4_01,Design coherent service and experience strategies,Design Task,Stakeholder approval rate (%),Designing end-to-end customer journeys and service experiences
UIUX,User centred design,User centred design,CEXP,5,Customer experience,CEXP_5_01,Align experience strategy with brand and organisational goals,Governance Task,Alignment with strategic objectives (%),Designing end-to-end customer journeys and service experiences
UIUX,User centred design,User centred design,CEXP,6,Customer experience,CEXP_6_01,Define enterprise-wide customer experience vision,Strategic Task,Evidence of adoption across enterprise (%),Designing end-to-end customer journeys and service experiences
UIUX,User centred design,User centred design,ACIN,2,Accessibility and inclusion,ACIN_2_01,Apply basic accessibility guidelines in designs,Task,% of designs compliant with guidelines,Ensuring systems are usable by people with diverse abilities and needs
UIUX,User centred design,User centred design,ACIN,3,Accessibility and inclusion,ACIN_3_01,Evaluate designs against accessibility standards,Review Task,% of designs passing accessibility checks,Ensuring systems are usable by people with diverse abilities and needs
UIUX,User centred design,User centred design,ACIN,4,Accessibility and inclusion,ACIN_4_01,Integrate inclusive design principles into solutions,Design Task,% of solutions meeting inclusive criteria,Ensuring systems are usable by people with diverse abilities and needs
UIUX,User centred design,User centred design,ACIN,4,Accessibility and inclusion,ACIN_4_02,Recommend improvements for accessibility compliance,Task,# of actionable recommendations implemented,Ensuring systems are usable by people with diverse abilities and needs
UIUX,User centred design,User centred design,ACIN,5,Accessibility and inclusion,ACIN_5_01,Define accessibility strategies and policies,Governance Task,Adoption of strategies (%),Ensuring systems are usable by people with diverse abilities and needs
UIUX,User centred design,User centred design,ACIN,6,Accessibility and inclusion,ACIN_6_01,Champion inclusive design at organisational level,Leadership Task,Evidence of cultural adoption (%),Ensuring systems are usable by people with diverse abilities and needs
UIUX,User centred design,User centred design,UNAN,2,User experience analysis,UNAN_2_01,Identify usability issues from user feedback,Task,# of issues correctly identified,"Analysing user behaviour, usability issues, and interaction patterns"
UIUX,User centred design,User centred design,UNAN,3,User experience analysis,UNAN_3_01,Analyse user behaviour and interaction patterns,Analysis Task,% of patterns accurately identified,"Analysing user behaviour, usability issues, and interaction patterns"
UIUX,User centred design,User centred design,UNAN,4,User experience analysis,UNAN_4_01,Conduct structured usability and experience analysis,Task,Completeness of usability analysis (%),"Analysing user behaviour, usability issues, and interaction patterns"
UIUX,User centred design,User centred design,UNAN,5,User experience analysis,UNAN_5_01,Lead UX analysis to inform strategic design decisions,Leadership Task,Stakeholder approval (%),"Analysing user behaviour, usability issues, and interaction patterns"
